Acc	Gene_Family	Species	SRR062276_Abundance.RPKs	SRR062301_Abundance.RPKs	SRR062353_Abundance.RPKs	SRR062357_Abundance.RPKs	SRR062371_Abundance.RPKs	SRR062372_Abundance.RPKs	SRR062389_Abundance.RPKs	SRR062396_Abundance.RPKs	SRR062402_Abundance.RPKs	SRR062413_Abundance.RPKs	SRR062415_Abundance.RPKs	SRR062435_Abundance.RPKs	SRR062441_Abundance.RPKs	SRR062462_Abundance.RPKs	SRR1804628_Abundance.RPKs	SRR1804686_Abundance.RPKs	SRR346673_Abundance.RPKs	SRR346681_Abundance.RPKs	SRR513168_Abundance.RPKs	SRR513448_Abundance.RPKs	SRR514180_Abundance.RPKs	SRR514191_Abundance.RPKs	SRR514231_Abundance.RPKs	SRR528155_Abundance.RPKs	SRR528183_Abundance.RPKs	SRR528261_Abundance.RPKs	SRR528300_Abundance.RPKs	SRR528353_Abundance.RPKs	SRR528423_Abundance.RPKs	SRR532006_Abundance.RPKs	SRR532015_Abundance.RPKs	SRR532024_Abundance.RPKs	SRR532040_Abundance.RPKs	SRR532178_Abundance.RPKs	SRR532183_Abundance.RPKs	SRR532190_Abundance.RPKs	SRR532191_Abundance.RPKs	SRR532504_Abundance.RPKs	SRR532507_Abundance.RPKs	SRR533152_Abundance.RPKs	SRR533153_Abundance.RPKs	SRR545546_Abundance.RPKs	SRR638753_Abundance.RPKs	SRR640340_Abundance.RPKs	SRR640357_Abundance.RPKs	SRR640452_Abundance.RPKs	SRR640499_Abundance.RPKs
F9YZR7	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000776224	0	0.00293757	0	0	0	0	0	0	0	0	0	0	0	0.0129669	0	0.00688491	0
W4JM62	 Transposase_IS1201_Fragment_	g__Lactobacillus.s__Lactobacillus_crispatus	0.00243537	0.00257917	0.00360052	0.0038616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00401621	0.00315519	0.00381739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U5EEK8	 Putative_cell_wall_associated_hydrolase_sp_e14_cell_wall_associated_hydrolase	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	2.41646e-05	1.78998e-05	0	0	0	0	4.32645e-05	0	0	1.63275e-05	0.000573267	0.000389564	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00066107	0.00100657	0.00086009	0.00152665	0	0	0	0	0.000385777	0.000556262	0	0	0.000950354	0.00118144	0.00897657	0.0012702	0.00391191	0.00108676
V2VC13	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187207	0.00396396	0.00198718	0.00495405	0	0	0	0	0	0	0	0	0	0	0	0	0.0104529	0
F9YX38	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103327	0	0.00198718	0.00131933	0	0	0	0	0	0.00127781	0	0	0	0.0171656	0	0	0	0
E3R227	 Transposase_IS4_family	g__Lactobacillus.s__Lactobacillus_crispatus	0.00347994	0.00346504	0.00407383	0.00356542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00290926	0.00263287	0.00252506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G0DVN9	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219411	0	0	0	0	0	0	0	0
D5GZ91	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0.00076418	0.00183007	0.00221337	0.00303957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00690817	0.00244332	0.00470389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D6S6C8	 NO_NAME	g__Lactobacillus.s__Lactobacillus_jensenii	0.00183771	0.00131104	0.00293203	0.00288028	0	0	0	0	0	0	0	0	0	0	0.00629397	0.00393124	0	0	0	0.00201671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A7AJP8	 NO_NAME	g__Parabacteroides.s__Parabacteroides_merdae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00200453	0.00190177	0.00207622	0.00208136	0.00196588	0.00210812	0	0	0	0	0.00112599	0.00154461	0.00141836	0.00138541	0	0	0.0016234	0.00153155	0	0	0	0	0	0
E6DUK6	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0.000131533	0.000234858	0	0	0	0	9.53877e-05	0	0	2.57445e-05	1.99727e-05	3.6149e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00171229	0.00304829	0.00125636	0.00402235	0	0	0	0	0.00112322	0.000343741	0	0	0.000924904	0	0.00249624	0.00126851	0.00129581	0.00268998
D6S3A2	 NO_NAME	g__Lactobacillus.s__Lactobacillus_jensenii	0.000961059	0.000837818	0.00160518	0.00140662	0	0	0	0	0	0	0	0	0	0	0.00684116	0.00843146	0	0	0	0.000536465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
W4JH91	 Transposase_Fragment_	g__Lactobacillus.s__Lactobacillus_crispatus	0.00213419	0.00277848	0.00269829	0.00310534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00253167	0.00349101	0.00379316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4HQA9	 ABC_transporter_ATP_binding_protein	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000734393	0	0	0	0	0	0	0	0	0	0	0	0	0.0127908	0	0.00658993
E4DIQ9	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	5.6013e-05	5.24937e-05	0	0	0	0	2.13103e-05	0	0	3.43331e-05	5.67096e-05	6.98353e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009101	0.00157919	0.00159105	0.00109616	0	0	0	0	0.00229689	0.00123406	0	0	0	0.00182885	0.00200365	0.00402877	0.00168514	0.000850993
E4F881	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00302268	0	0.00259862	0	0	0	0	0	0.00175083	0.00277567	0	0	0.00846814	0	0	0	0	0
E4CFF2	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00159126	0	0	0.00228958	0	0	0	0	0	0	0	0	0	0.0145907	0	0	0	0
E4HPY2	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000909291	0.000990182	0.000889002	0.000613739	0	0	0	0	0	0.00125378	0	0	0	0	0.0084589	0	0.0047513	0
J7SHX6	 NO_NAME	g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	0.000699698	0.000681834	0.000611812	0.000662617	0.000719062	0.000612856	0.000660275	0.000503042	0.000528895	0.000775918	0.00523119	0.00457069	0.000585091	0.000551548	1.16348e-05	0	0	0	0	4.419e-05	4.46513e-05	5.46813e-05	0	0	3.83215e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U5P1X6	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0.00173755	0.00184686	0.00306414	0.00343337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00326451	0.00191717	0.00228076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6AAA9	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	1.40292e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00053941	0.000889665	0	0	0	0	0	0	0.00119794	0	0	0	0	0	0	0.00807842	0	0.00676335
F3CU75	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	3.58968e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00223973	0	0.00337821	0.00381596	0	0	0	0	0	0.00219411	0	0	0.00560709	0	0	0	0	0
E4D347	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00170944	0.0031899	0	0.00157902	0	0	0	0	0	0.00300114	0	0	0.00773392	0	0	0	0	0
D5GZ89	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0.00111703	0.00116889	0.00304991	0.00311545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00377724	0.00225726	0.00246343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D5GZ88	 Conserved_protein	g__Lactobacillus.s__Lactobacillus_crispatus	0.00190317	0.00172804	0.00293552	0.0031482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00259006	0.0024988	0.0019484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4DGH1	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000691852	0	0	0	0	0	0	0	0	0	0	0	0.00700886	0	0	0.00902882	0	0
V2UZJ7	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05129e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000483331	0	0	0	0	0	0	0	0.000630707	0	0	0	0	0.00810596	0	0	0	0.00734307
E6C9S6	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000242159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000965202	0.00315804	0	0	0	0	0	0	0	0	0	0	0.00708187	0	0	0.00503936
D5GZ90	 PG1_protein_homology_to_Homo_sapiens	g__Lactobacillus.s__Lactobacillus_crispatus	0.00149859	0.00143748	0.00276257	0.00303059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00345453	0.001941	0.00220666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4D4Z7	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182452	0.00194453	0	0	0	0	0	0	0.0009695	0.00168778	0	0	0	0	0	0	0	0.0098849
E6DWJ2	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	1.61946e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000488705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156793	0
D4HES4	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000677131	0	0	0	0	0	0	0	0	0.00076609	0	0	0.00477199	0	0	0	0.00667204	0.00273412
E6CB07	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00200604	0.000649655	0.00176121	0	0	0	0	0	0	0	0	0	0.0110179	0	0	0	0
D4HBN0	 Tat_pathway_signal_sequence_domain_protein	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00241729	0	0.00293757	0.00106492	0	0	0	0	0	0.00095396	0	0	0	0	0	0	0	0.00803148
D5GYL1	 Transposase	g__Lactobacillus.s__Lactobacillus_crispatus	0.00262619	0.00274904	0.00269507	0.00271932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00150779	0.00174514	0.00131232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T5LFL8	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0.004014	0.00749378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E3R1D0	 Transposase_IS4_family	g__Lactobacillus.s__Lactobacillus_crispatus	0.0022921	0.00210629	0.00253326	0.00257448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149162	0.00184717	0.00220837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D4FD29	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0.00376312	0	0.00134077	0.00267309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00247496	0.00212571	0.00256227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E3R5T8	 LPXTG_motif_cell_wall_anchor_domain_protein	g__Lactobacillus.s__Lactobacillus_crispatus	0.00164312	0.00125214	0.00237708	0.00239433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000686823	0.00335918	0.00296113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4GLE3	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00132493	0.000666469	0	0.00111687	0	0	0	0	0.00111028	0	0	0	0	0.00600116	0	0	0.00435536	0
W4JFQ0	 Transposase	g__Lactobacillus.s__Lactobacillus_crispatus	0.00180632	0.00197413	0.00271214	0.0018227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00239306	0.00138561	0.00226018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
W4TQG7	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00159126	0.00173282	0.0016891	0	0	0	0	0	0.00103213	0	0	0	0	0	0	0.00829676	0	0
U5P1X6	 NO_NAME	g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0.000877472	0.000726555	0.000691405	0.000582057	0.000501116	0.000570426	0.000560148	0.000429247	0.000425993	0.000572153	0.00351858	0.00364172	0.0004026	0.000413606	0	0	0	0	0.000341451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F1UEH6	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	1.51609e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133294	0	0.00176121	0	0	0	0	0.00133887	0.00104481	0	0	0.00862629	0	0	0	0	0
F9Z009	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130699	0.00105569	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0116143	0
E4D8N9	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90888e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00113661	0	0.00175472	0.00218055	0	0	0	0	0	0.00036981	0	0	0	0	0	0.00852722	0	0
Q6AAJ1	 DNA_or_RNA_helicase_of_superfamily_II	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	3.48939e-07	0	0	3.49824e-07	6.22226e-06	8.44636e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00166907	0.00487967	0.00126308	0.00208263	0	0	0	0	0.000261763	0.00209318	0	0	0.000286629	0.000187181	0.000195331	0.000784748	0	0
E6DUF5	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00219411	0	0	0	0	0	0	0	0.0114592
E4DBE1	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00198907	0	0.00199408	0.00143098	0	0	0	0	0	0.00274264	0	0	0.00547033	0	0	0	0	0
E6CG12	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00143056	0.0016503	0	0.00183166	0	0	0	0	0.00225409	0	0	0	0	0	0.00630004	0	0	0
E4DFD9	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000323694	0.0012748	0	0	0	0	0	0.00147406	0.00165593	0	0	0	0.00483206	0	0.00378988	0	0
E4BBK5	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013347	0	0
E4EWY6	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00201406	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011238
D1PGD8	 NO_NAME	g__Prevotella.s__Prevotella_copri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00166817	0.00168227	0.00168403	0.00166464	0.00166812	0.00165204	0	0	0	0	0.000547619	0.000477924	0.0004712	0.000499349	0	0	0.000437178	0.000467671	0	0	0	0	0	0
E4AAW0	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	1.13987e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00273603	0	0.00241008	0	0	0	0	0.00119794	0.00115479	0	0	0	0	0	0.00538561	0	0
D4FEV3	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0	0.000801358	0.00258392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00267448	0.00265502	0.0040637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4EVG8	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00119505	0	0.0015527	0	0	0	0	0	0	0	0	0	0	0	0.00995106	0	0
K1LSQ1	 NO_NAME	g__Lactobacillus.s__Lactobacillus_crispatus	0.0013925	0.00124766	0.00113581	0.00269496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169252	0.00181252	0.00271562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4FCS5	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000641731	0	0.00220318	0	0	0	0	0	0	0	0	0	0.00975146	0	0	0	0	0
B2DWT5	 NO_NAME	g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0.000989977	0.000553777	0.00121737	0.000729444	0.000796107	0.000187715	0.00129415	0.00116705	0.00144286	0.00122085	0	0.000941166	0.000800797	0.0008371	0	0	0	0	0.000276625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3CPN4	 NO_NAME	g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000475317	0	0.0011649	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108133	0
